item_no,item,unit,category,city,price,month,year,month_year,year_label
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,110.35,6,2025,2025-06,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,110.35,7,2025,2025-07,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,105.93,8,2025,2025-08,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,95.47,9,2025,2025-09,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,88.62,10,2025,2025-10,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,105.9,11,2025,2025-11,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,107.05,12,2025,2025-12,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,102.95,1,2026,2026-01,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,173.23,2,2026,2026-02,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,157.41,3,2026,2026-03,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,417.25,4,2023,2023-04,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,381.04,5,2023,2023-05,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,319.67,6,2023,2023-06,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,264.98,7,2023,2023-07,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,209.15,8,2023,2023-08,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,199.5,9,2023,2023-09,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,197.75,10,2023,2023-10,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,191.94,11,2023,2023-11,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,203.19,12,2023,2023-12,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,209.2,1,2024,2024-01,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,254.73,2,2024,2024-02,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,300.26,3,2024,2024-03,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,284.25,4,2024,2024-04,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,242.88,5,2024,2024-05,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,262.0,6,2024,2024-06,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,258.75,7,2024,2024-07,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,223.48,8,2024,2024-08,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,198.19,9,2024,2024-09,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,193.09,10,2024,2024-10,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,183.92,11,2024,2024-11,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,194.44,12,2024,2024-12,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,229.87,1,2025,2025-01,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,307.06,2,2025,2025-02,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,344.59,3,2025,2025-03,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,327.25,4,2025,2025-04,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,298.2,5,2025,2025-05,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,284.6,6,2025,2025-06,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,284.6,7,2025,2025-07,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,239.86,8,2025,2025-08,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,222.91,9,2025,2025-09,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,213.06,10,2025,2025-10,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,213.73,11,2025,2025-11,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,216.0,12,2025,2025-12,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,233.51,1,2026,2026-01,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,339.38,2,2026,2026-02,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Islamabad,350.41,3,2026,2026-03,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Karachi,194.52,4,2023,2023-04,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Karachi,175.13,5,2023,2023-05,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Karachi,150.61,6,2023,2023-06,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Karachi,116.7,7,2023,2023-07,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Karachi,112.34,8,2023,2023-08,Year1
